"paper_block","solver_implementation","saved_diagnostic","logical_status"
"Baseline large-scale curvature (eq:axm-large-scale-curvature; prop:axm-research-burst)","Parameters.__post_init__ and the three AXM audit scripts","eta; alpha; research_burst_payoff_exponent","eta<alpha is imposed in every reported simulation; the exponent audits finite-horizon research-expenditure coercivity, not attainment or infinite-horizon existence"
"Exogenous population law (eq:axm-population)","log N(t)=log N(0)+nt in equilibrium_rates","imposed by construction; initial_population_log_error checks only N(0)","exact exogenous state path; no separate dated residual"
"Exogenous labor-productivity law (eq:axm-labor-productivity)","log A(t)=log A(0)+gamma_A*t in equilibrium_rates","labor_productivity_path_error","exact exogenous path evaluated analytically; A is not an endogenous numerical state"
"Labor-market clearing (eq:axm-labor-market)","equilibrium_static_block","labor_market_error","imposed only at the general-equilibrium stage"
"Final production and CES share (eq:axm-final-production; eq:axm-sx)","monopoly_service_block and technology_log_errors","final_production_log_error and ai_share_definition_error","exact static condition"
"Competitive factor prices (eq:axm-factor-prices)","equilibrium_static_block and evaluate_solution","capital_price_error; wage_foc_log_error; ai_price_foc_log_error","exact static condition"
"Final-sector inverse demand and elasticity (eq:axm-inverse-elasticity)","monopoly_service_block","ai_price_foc_log_error and monopoly_foc_log_error","derived from final-good firms' AI demand; used as the developer's residual-demand constraint"
"Final-firm zero profit (eq:axm-final-zero-profit)","factor-price identities under constant returns","independent household_budget_equivalence reconstruction","derived from final-firm optimality; used only later in aggregate accounting"
"AI-service-market clearing (common X notation after equilibrium is imposed)","common equilibrium service quantity in equilibrium_static_block","imposed by construction; no separate residual","identifies the X purchased by final-good firms with the X sold by the developer without introducing a new symbol"
"Service identities X=BU and BM","equilibrium_static_block","inference_identity_log_error plus independent B-U and B-M reconstruction","exact static identities"
"Capability law and CES research index (eq:axm-capability-law; eq:axm-effective-research)","equilibrium_static_block and technology_log_errors","research_ces_log_error plus independent consolidated-law reconstruction","exact static and state equations"
"Research expenditure function and conditional demands (eq:axm-research-price--eq:axm-research-demands)","research_unit_cost and equilibrium_static_block","research_price_log_error; human_conditional_demand_log_error; automated_service_demand_log_error","exact dual conditions"
"Research expenditure share (eq:axm-sm)","equilibrium_static_block","automated_share_definition_error","exact definition"
"Monopoly FOC and SOC (eq:axm-monopoly-foc; eq:axm-monopoly-soc)","monopoly_service_block and evaluate_solution","monopoly_foc_log_error and monopoly_soc_margin","FOC solved; positive SOC required by audit"
"Research FOCs and scale condition (eq:axm-research-focs; eq:axm-research-scale-foc)","equilibrium_static_block and evaluate_solution","research_compute_foc_log_error; research_human_foc_log_error; research_scale_foc_log_error","exact interior conditions"
"Resource constraint (eq:axm-resource)","equilibrium_rates and evaluate_solution","resource_share_sum","exact market-clearing identity"
"Household budget and distributed profit (eq:axm-household-budget; eq:axm-developer-profit)","resource constraint plus zero final-firm profit and developer distributions","independent household_budget_equivalence reconstruction","individual conditions become equivalent to aggregate resources only after capital-, labor-, and AI-service-market clearing"
"Capital law (eq:axm-canonical-system)","equilibrium_rates and collocation derivative","capital_law_residual","numerical differential equation"
"Capability law (eq:axm-canonical-system)","equilibrium_rates and collocation derivative","capability_law_residual","numerical differential equation"
"Household Euler equation in prices and reduced equilibrium form (eq:axm-euler; eq:axm-euler-reduced; eq:axm-canonical-system)","equilibrium_rates and collocation derivative","euler_residual and consumption_euler_path_residual","solver uses the reduced form only after substituting the final-firm capital-price condition"
"Developer costate in prices and reduced equilibrium form (eq:axm-costate; eq:axm-costate-reduced; eq:axm-canonical-system)","equilibrium_rates and collocation derivative","shadow_costate_residual plus independent capability-feedback reconstruction","solver uses the reduced form only after substituting the final-firm capital-price condition"
"Predetermined stocks K_0 and B_0; exogenous initial values A_0 and N_0","solve_equilibrium fixes K_0 and B_0 while equilibrium_rates imposes the analytical A and N paths","initial_capital_log_error; initial_capability_log_error; initial_population_log_error; labor_productivity_path_error","K_0 and B_0 are predetermined; A_0 and N_0 are exogenous data; C_0 and q_0 are endogenous jump values selected by terminal conditions"
"Infinite-horizon TVCs (eq:axm-household-tvc; eq:axm-developer-tvc; eq:axm-tvc; eq:axm-human-tvc)","balanced-growth terminal ratios in solve_equilibrium","terminal finite-horizon TVC proxies and horizon continuation checks","individual TVCs are rewritten in equilibrium quantities; not directly proved by a finite-horizon simulation"
"Global optimality in published parameterizations (prop:axm-equilibrium-sufficiency)","parameter restrictions plus exact infinite-horizon equations","beta; eta(1+omega_M); 2eta","globally sufficient only for an exact admissible infinite-horizon path satisfying the TVCs"
