gate_group,gate,value,comparison,threshold,status,details,path_label
overall,accepted_as_convergent_finite_boundary_approximations,1,==,1,pass,"Acceptance does not establish an infinite-horizon equilibrium, a TVC, global optimality, or reachability from arbitrary states.",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,required_boundaries_present,3,==,3,pass,missing=,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,continuation_matches_canonical_groups,1,==,1,pass,canonical_required_groups=3,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,terminal_boundary_constant_within_group,0.0,<=,1e-09,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,one_scenario_per_boundary_group,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,finite_unique_strictly_ordered_time_grids,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,continuation_duration_matches_group_endpoint,0.0,<=,1e-08,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,canonical_group_endpoint_matches_boundary,2.731148640577848e-14,<=,5e-07,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
inputs,sigma_XL_matches_audit_parameters,0.0,<=,1e-12,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
solver,free_boundary_solver_rms,9.999939436666229e-07,<=,2e-05,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary,terminal_output_capital_target,2.731148640577848e-14,<=,5e-07,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
equations,technologies_and_prices,2.3651828939819097e-08,<=,5e-08,pass,"fields=population_law_log_residual,final_ces_log_residual,final_output_log_residual,inference_identity_log_residual,research_service_identity_log_residual,research_ces_log_residual,wage_log_residual,ai_price_log_residual,ai_marginal_cost_log_residual",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
equations,shares_and_resources,2.3979151997366444e-12,<=,5e-08,pass,"fields=ai_share_residual,capability_law_level_residual,gross_return_residual,net_return_residual,inverse_elasticity_residual,labor_market_residual,resource_constraint_residual,household_budget_residual,final_firm_zero_profit_residual,research_machine_technology_share_residual,research_machine_cost_share_residual,inference_resource_share_residual,research_resource_share_residual,investment_share_residual,consumption_share_residual,resource_share_sum_residual,production_labor_income_share_residual,aggregate_labor_income_share_residual,ai_operating_profit_share_residual,ai_markup_residual,shadow_capability_to_capital_residual",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
equations,static_first_order_conditions,2.365181828167806e-08,<=,5e-07,pass,"fields=monopoly_foc_log_residual,research_compute_foc_log_residual,research_human_foc_log_residual",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
equations,dynamic_rhs_reconstruction,3.623767952376511e-12,<=,5e-08,pass,"fields=capital_rhs_residual,capability_rhs_residual,consumption_euler_rhs_residual,shadow_costate_rhs_residual",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
dynamics,saved_path_derivative_residuals,2.389990293494293e-05,<=,3e-05,pass,Audits the residual columns saved by the BVP evaluator.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
dynamics,independently_differenced_compact_path,6.305141825313498e-09,<=,5e-05,pass,"Centered seven-point local Lagrange derivatives on the saved grid, excluding the last 50 years; argmax: z_T=128, state=log_consumption, time=1610.7595343844023.",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
interiority,positive_allocations_and_monopoly_SOC,-36.07880625802298,finite,finite,pass,Minimum is evaluated in logs so a CES share that is strictly positive but below level-space subtraction precision is not misclassified as zero.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
interiority,no_share_or_bounded_exp_clipping,0,==,0,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,T_star_contraction,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,T_star_final_difference,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_ai_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_automated_research_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_capability_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_capital_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_consumption_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_capability,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_capital,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_consumption,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_labor_productivity,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_output,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_shadow_value,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,common_window_log_wage,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_ai_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_automated_research_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_capability_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_capital_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_consumption_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_capability,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_capital,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_consumption,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_labor_productivity,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_output,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_shadow_value,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_log_wage,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_16_time,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_ai_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_automated_research_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_capability_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_capital_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_consumption_growth,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_capability,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_capital,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_consumption,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_labor_productivity,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_output,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_shadow_value,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_log_wage,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,event_32_time,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,jump_initial_log_consumption,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,jump_initial_log_shadow_value,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,saved_T_star_matches_recomputed,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_ai_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_ai_share_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_automated_research_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_automated_research_share_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_capability_growth_to_output_capital,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_capability_growth_to_output_capital_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_consumption_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_consumption_share_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_inference_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_inference_share_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_investment_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_investment_share_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_research_resource_share,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_research_resource_share_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_shadow_capability_to_capital,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
boundary_convergence,terminal_shadow_capability_to_capital_nonworsening,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
scope,high_sigma_A_times_M_parameter_domain,1,==,1,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
