claim_id,manuscript_object,scope,proved_statement,maintained_assumptions,proof_status,remaining_gap
1,Proposition wage-share-thresholds,Static production block,"Signs of the partial effects of AI services on output, the production-labor share, and the wage",Interior CES production with K and L fixed,Proved in text,"Does not determine the general-equilibrium wage path"
2,Proposition dynamic-labor-share,Equilibrium identity,"Growth accounting for production and aggregate labor-income shares",Interior allocation and differentiability,Proved in text,"Signs require equilibrium paths for X, L, and H"
3,Proposition gradual-automation,Research input choice,"If sigma_HM is above one and w/xi diverges, the automated research share converges to one",Interior cost minimization,Proved in appendix,"sigma_HM above one alone is insufficient"
4,Proposition research-employment-scale,Research transition,"Conditions under which H/M falls while H/N rises",Interior research mix,Proved in text,"Does not determine whether the scale condition holds in equilibrium"
5,Proposition ai-dominated-cd-limit,Full model limiting allocation,"Necessary growth rates and feasibility conditions at sigma_XL equal to one",AI-dominated nondegenerate constant-growth limit with a constant research-resource share,Proved in text,"Global existence, convergence, and transversality remain unproved"
6,Proposition human-essentiality-acceleration,Growth-path comparison,"D_CD exceeds D_AI and the two technologies can imply different constant-growth feasibility",Cobb-Douglas production and the stated limiting research technologies,Proved in text,"Does not prove that the CES transition reaches either limit"
7,Proposition singularity-conditions,Reduced proportional-allocation closure,"Exact conditions for balanced growth, acceleration, and finite-time singularity",Reduced closure with exogenous proportional allocation,Proved in appendix,"Not a singularity theorem for the optimizing monopoly"
8,Proposition production-ces-regimes,Static monopoly asymptotics,"Limits of the AI production share and Y/K for the three production elasticities",Unbounded capability interior service supply and vanishing normalized AI cost where stated,Proved in appendix,"Does not establish that capability becomes unbounded"
9,Proposition production-unit-elasticity-knife-edge,Exact CES mapping,"Finite allocations are continuous at one but the high-relative-price and unit-elasticity limits do not commute",Interior CES allocation,Proved in text,"Calendar time to reach a relative-price threshold is not identified"
10,Proposition gross-substitution-no-steady-state,Full equilibrium conditional nonexistence,"For sigma_XL above one and unbounded capability no interior finite-rate steady state exists",Interior service market positive consumption and household Euler equation,Proved in appendix,"A bounded-capability or other boundary equilibrium is not ruled out"
11,Proposition nonunit-ces-steady-states,Full model limiting allocation,"Necessary rates for a nondegenerate interior constant-growth limit below one and nonexistence above one",Unbounded capability and the regularity conditions stated in the proposition,Proved in appendix,"Existence and convergence below one remain unproved"
12,Proposition sigma-hm-one-high-sigma-xl,Fixed-share asymptotic system,"Human-essential research does not restore balanced growth and the stated reduced system is singular",Fixed positive investment and research shares plus high-capability asymptotics,Proved in text,"Not a theorem for endogenous saving and research"
13,Proposition knowledge-wedge,Local planner comparison,"If the social shadow value exceeds the private shadow value the planner raises research compute locally",Interior differentiable allocation,Proved in appendix,"The sign and magnitude of the shadow-value wedge are not solved"
