citation_key,source_group,cited_in_manuscript,citation_locations,cited_in_axm,citation_locations_axm,cited_in_legacy,citation_locations_legacy,entry_type,authors,title,year,venue,volume,number,pages,doi,document_url,landing_page_url,abstract,abstract_type,abstract_source_url,metadata_source,verification_status,topics,evidence_type,method,key_results,use_in_axm,limits_for_axm,notes,last_verified
anthropiceconomicindex2026,manuscript_bibliography,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:177,no,,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:177,techreport,Anthropic,Anthropic Economic Index: Economic Primitives,2026,Anthropic,,,,,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,"The report introduces economic primitives for measuring AI use, including task complexity, human input, success, and interaction style. It compares multiple samples of Claude.ai conversations while warning that platform activity is not a representative sample of the economy.",editorial_summary,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,Anthropic,official_landing_page,,,,,,,,2026-08-17
autorkausik2026,manuscript_bibliography,yes,sections/02_literature.tex:63; sections/02_literature.tex:122; sections/03_toy_model.tex:871; sections/03_toy_model.tex:974; sections_axm/02_literature.tex:128,yes,sections_axm/02_literature.tex:128,yes,sections/02_literature.tex:63; sections/02_literature.tex:122; sections/03_toy_model.tex:871; sections/03_toy_model.tex:974,misc,"Autor, David H. and Kausik, B. N.","Resolving the Automation Paradox: Falling Labor Share, Rising Wages",2026,arXiv:2601.06343,,,,10.48550/arXiv.2601.06343,https://arxiv.org/abs/2601.06343,https://doi.org/10.48550/arXiv.2601.06343,"A central socioeconomic concern about Artificial Intelligence is that it will lower wages by depressing the labor share - the fraction of economic output paid to labor. We show that declining labor share is more likely to raise wages. In a competitive economy with constant returns to scale, we prove that the wage-maximizing labor share depends only on the capital-to-labor ratio, implying a non-monotonic relationship between labor share and wages. When labor share exceeds this wage-maximizing level, further automation increases wages even while reducing labor's output share. Using data from the United States and eleven other industrialized countries, we estimate that labor share is too high in all twelve, implying that further automation should raise wages. Moreover, we find that falling labor share accounted for 16\% of U.S. real wage growth between 1954 and 2019. These wage gains notwithstanding, automation-driven shifts in labor share are likely to pose significant social and political challenges.",openalex_indexed_abstract,https://openalex.org/W7123910272,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
buenodemesquitaetal2026,manuscript_bibliography,no,,no,,no,,techreport,"Bueno de Mesquita, Ethan and Dziuda, Wioletta and Polborn, Mattias",The AGI Race and Existential Risk,2026,National Bureau of Economic Research,,35276,,10.3386/w35276,https://doi.org/10.3386/w35276,https://doi.org/10.3386/w35276,"Concerns about the race to artificial general intelligence often assume that competition and resources increase risk by accelerating development.We study a model in which firms allocate scarce resources between speed and safety.Speed increases a firm's chance of reaching AGI first but leaves fewer resources for safety; safety lowers doom risk but slows arrival.Fragmentation increases total speed and conditional doom risk by shifting a fixed industry resource pool toward speed.The model also identifies a critical market size: below it, firms have positive expected payoff from achieving AGI, while above it, firms race even though achieving AGI has negative expected value.More per-firm resources always accelerate expected arrival, but their effect on conditional doom risk changes sign at this cutoff.Policy affects risk by changing equilibrium incentives: consolidation, resource regulation, commitment devices, and cautious public entry can improve welfare in some environments.The results show that AGI risk depends not only on technical considerations, but also on market structure, resource constraints, and institutions that shape the equilibrium allocation between speed and safety.",openalex_indexed_abstract,https://openalex.org/W7162996137,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
davidsonetal2026,manuscript_bibliography,yes,sections_axm/01_introduction.tex:8; sections_axm/01_introduction.tex:60; sections_axm/01_introduction.tex:71; sections_axm/01_introduction.tex:78; sections_axm/01_introduction.tex:237; sections_axm/02_literature.tex:16; sections_axm/02_literature.tex:31; sections_axm/02_literature.tex:95; sections_axm/03_model.tex:177; sections_axm/03_model.tex:312; sections_axm/03_model.tex:491; sections_axm/03_model.tex:726; sections_axm/04_growth_regimes.tex:280; sections_axm/04_growth_regimes.tex:589; sections_axm/04_growth_regimes.tex:653; sections_axm/04_growth_regimes.tex:942; sections_axm/06_conclusion.tex:9; sections_axm/06_conclusion.tex:40; sections_axm/06_conclusion.tex:126; sections_axm/06_conclusion.tex:144; sections_axm/appendix.tex:1046,yes,sections_axm/01_introduction.tex:8; sections_axm/01_introduction.tex:60; sections_axm/01_introduction.tex:71; sections_axm/01_introduction.tex:78; sections_axm/01_introduction.tex:237; sections_axm/02_literature.tex:16; sections_axm/02_literature.tex:31; sections_axm/02_literature.tex:95; sections_axm/03_model.tex:177; sections_axm/03_model.tex:312; sections_axm/03_model.tex:491; sections_axm/03_model.tex:726; sections_axm/04_growth_regimes.tex:280; sections_axm/04_growth_regimes.tex:589; sections_axm/04_growth_regimes.tex:653; sections_axm/04_growth_regimes.tex:942; sections_axm/06_conclusion.tex:9; sections_axm/06_conclusion.tex:40; sections_axm/06_conclusion.tex:126; sections_axm/06_conclusion.tex:144; sections_axm/appendix.tex:1046,no,,techreport,"Davidson, Tom and Halperin, Basil and Houlden, Thomas and Korinek, Anton",When Does Automating AI Research Produce Explosive Growth? Feedback Loops in Innovation Networks,2026,National Bureau of Economic Research,,35155,,10.3386/w35155,https://thomas-houlden.com/assets/DHHK_May2026.pdf,https://www.nber.org/papers/w35155,"AI labs are increasingly using AI itself to accelerate AI research, creating a feedback loop that could lead to an intelligence explosion. We develop a general semi-endogenous growth model with an innovation network, where research and automation in one sector increase the productivity of research in other sectors, and derive a clean analytical condition under which growth becomes superexponential (``explosive''). We find that automating research can offset diminishing returns to ideas by activating two reinforcing channels: a technological feedback loop across research sectors, and an economic feedback loop in which higher output finances further research. Growth becomes explosive if the combined strength of technological and economic feedback loops overcomes diminishing returns. In a simple simulation calibrated to trends in AI progress, fully automating software research and modest (5%) automation in other sectors generates a singularity within six years. Bottlenecks do not overturn the result if task automation advances sufficiently fast.",source_abstract,https://www.nber.org/papers/w35155,NBER,official_landing_page,AI research automation; innovation networks; feedback loops; spectral radius; explosive growth; compute,theory and calibrated simulation,"Semi-endogenous innovation network represented by a nonnegative feedback matrix, with a spectral-radius classification of growth regimes.",Technological and economic feedback can jointly overcome diminishing returns and generate superexponential growth; the criterion classifies the eventual regime rather than fixing a unique transition date.,"Closest antecedent for the capability--compute feedback architecture, local feedback weights, scalar denominator, and explosive-growth threshold.","Its automation shares and research allocations are exogenous in the economic application. Its network theorem is not the A×M equilibrium theorem, and its simulated dates are not transferable.",,2026-08-17
iea2026,manuscript_bibliography,yes,sections/01_introduction.tex:126; sections/01_introduction.tex:145; sections_axm/01_introduction.tex:110; sections_axm/01_introduction.tex:117,yes,sections_axm/01_introduction.tex:110; sections_axm/01_introduction.tex:117,yes,sections/01_introduction.tex:126; sections/01_introduction.tex:145,techreport,International Energy Agency,Key Questions on Energy and AI,2026,International Energy Agency,,,,,https://www.iea.org/reports/key-questions-on-energy-and-ai,https://www.iea.org/reports/key-questions-on-energy-and-ai,"The report examines how artificial intelligence changes electricity demand, where data-center demand is concentrated, how AI may improve energy systems, and which infrastructure, efficiency, and policy choices determine its net energy effects.",editorial_summary,https://www.iea.org/reports/key-questions-on-energy-and-ai,International Energy Agency,official_landing_page,,,,,,,,2026-08-17
jonestonetti2026,manuscript_bibliography,yes,sections_axm/01_introduction.tex:185; sections_axm/02_literature.tex:77; sections_axm/06_conclusion.tex:70; sections_axm/06_conclusion.tex:125,yes,sections_axm/01_introduction.tex:185; sections_axm/02_literature.tex:77; sections_axm/06_conclusion.tex:70; sections_axm/06_conclusion.tex:125,no,,unpublished,"Jones, Charles I. and Tonetti, Christopher",Past Automation and Future A.I.: How Weak Links Tame the Growth Explosion,2026,,,,,,https://web.stanford.edu/~chadj/JonesTonetti_Automation.pdf,https://christophertonetti.com/research.html,"How much of past economic growth is due to automation, and what does this imply about the effects of A.I. in the coming decades? We perform growth accounting using a task-based model for key sectors in the U.S. economy. Historically, TFP growth is driven primarily by improvements in capital productivity. At the task level, capital productivity has grown approximately 4 percentage points per year faster than labor productivity in the U.S. private business sector, and substantially more in some industries. The main benefit of automation is therefore that we use rapidly-improving machines instead of slowly-improving humans on an increasing share of tasks. Looking to the future, we develop an endogenous growth model in which the production of both goods and ideas is endogenously automated and calibrate the model based on our historical accounting. Automation leads economic growth to accelerate, but the acceleration is remarkably slow because of the prominence of weak links, i.e., an elasticity of substitution among tasks substantially less than one. Even when most tasks are automated by rapidly-improving capital, output is constrained by the tasks performed by slowly-improving labor.",source_abstract,https://web.stanford.edu/~chadj/JonesTonetti_Automation.pdf,authors,official_landing_page,automation; weak links; task model; factor shares; endogenous growth; AI; delayed takeoff,"growth accounting, theory, and calibrated simulation",Task-level growth accounting plus an endogenous-growth model in which production and idea creation are progressively automated.,"Weak links can make the acceleration remarkably slow even when most tasks are automated. Simulated aggregate paths can remain similar for decades before diverging; depending on the tail behavior and timing of automation, the capital share can converge to zero, one, or an interior value.",Closest dynamic precedent for the long apparent plateau followed by a steep takeoff and for the fact that automation alone does not determine limiting factor shares.,"Its elasticity aggregates tasks and its automation margin changes task assignment. That mechanism is not the A×M labor--AI CES, and its calendar dates cannot be imported.","Working paper, Version 0.5, May 2026",2026-08-17
korinekmckelvey2026,manuscript_bibliography,yes,sections/01_introduction.tex:95; sections/01_introduction.tex:126; sections/02_literature.tex:85; sections/03_toy_model.tex:168; sections/03_toy_model.tex:338; sections/03_toy_model.tex:358; sections_axm/01_introduction.tex:62; sections_axm/01_introduction.tex:92; sections_axm/01_introduction.tex:109; sections_axm/02_literature.tex:56; sections_axm/03_model.tex:160,yes,sections_axm/01_introduction.tex:62; sections_axm/01_introduction.tex:92; sections_axm/01_introduction.tex:109; sections_axm/02_literature.tex:56; sections_axm/03_model.tex:160,yes,sections/01_introduction.tex:95; sections/01_introduction.tex:126; sections/02_literature.tex:85; sections/03_toy_model.tex:168; sections/03_toy_model.tex:338; sections/03_toy_model.tex:358,techreport,"Korinek, Anton and McKelvey, Patrick",Measuring the AI Economy,2026,Bank of Canada,,2026-20,,10.34989/swp-2026-20,https://www.bankofcanada.ca/wp-content/uploads/2026/06/swp2026-20.pdf,https://www.bankofcanada.ca/2026/06/staff-working-paper-2026-20/,"We construct a macroeconomic estimate of total AI production for the United States, combining inference and R&D/training activities and applying quality adjustments based on the evolution of API prices at fixed performance levels and the pace of algorithmic progress. We estimate that nominal AI compute spending grew over 140% per year each in 2024 and 2025, raw compute capacity grew over 200% per year, and quality-adjusted AI output grew over 2000% per year. These growth rates reflect expanding data-center capacity, continued improvements in chip efficiency, and rapid algorithmic progress.",source_abstract,https://www.bankofcanada.ca/2026/06/staff-working-paper-2026-20/,Bank of Canada,official_landing_page,AI measurement; inference; training; research and development; compute; algorithms; model capital; satellite accounts,measurement and accounting,"Macroeconomic measurement of inference and R&D/training, with quality adjustment for API prices, chip efficiency, and algorithmic progress.","AI activity grows much faster after quality adjustment than nominal compute spending, because hardware capacity and algorithmic efficiency compound.","Provides the measurement vocabulary used to distinguish inference compute, research or training compute, algorithms, and model capital.","It does not identify the model's substitution elasticities, derive equilibrium prices or rents, or validate the simulated transition timing.",,2026-08-17
metrtimehorizon2026,manuscript_bibliography,yes,sections/01_introduction.tex:158; sections/01_introduction.tex:176,no,,yes,sections/01_introduction.tex:158; sections/01_introduction.tex:176,misc,Model Evaluation and Threat Research,Task-Completion Time Horizons of Frontier AI Models,2026,METR,,,,,https://metr.org/time-horizons/,https://metr.org/time-horizons/,"METR estimates the length of software, machine-learning, and cybersecurity tasks that frontier AI agents can complete with 50 percent success, where task length is measured by human-expert completion time. The public release includes model-level confidence intervals and cautions that estimates above 16 hours are unreliable with the current task suite.",editorial_summary,https://metr.org/time-horizons/,METR,official_landing_page,,,,,,,"Updated May 8, 2026",2026-08-17
nvidia2026,manuscript_bibliography,yes,sections/01_introduction.tex:201,no,,yes,sections/01_introduction.tex:201,techreport,NVIDIA Corporation,"Annual Report on Form 10-K for the Fiscal Year Ended January 25, 2026",2026,NVIDIA Corporation,,,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,"NVIDIA's Form 10-K reports the company's audited financial results, business segments, risk factors, and operating discussion for the fiscal year ended January 25, 2026. For this project, the relevant evidence is the scale and growth of data-center revenue; the filing is not a measure of total AI-industry revenue.",editorial_summary,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,U.S. SEC,official_filing,,,,,,,,2026-08-17
stanfordaiindex2026,manuscript_bibliography,yes,sections/01_introduction.tex:114; sections/01_introduction.tex:206,no,,yes,sections/01_introduction.tex:114; sections/01_introduction.tex:206,techreport,Stanford Institute for Human-Centered Artificial Intelligence,The 2026 AI Index Report,2026,Stanford University,,,,,https://hai.stanford.edu/ai-index/2026-ai-index-report,https://hai.stanford.edu/ai-index/2026-ai-index-report,"The 2026 AI Index compiles evidence on frontier-model performance, compute capacity, costs, investment, industry structure, adoption, policy, and public attitudes. The report emphasizes the increasing scale of industry-led model development and the rapid growth of the physical and commercial infrastructure supporting AI.",editorial_summary,https://hai.stanford.edu/ai-index/2026-ai-index-report,Stanford HAI,official_landing_page,,,,,,,,2026-08-17
